id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Jordy;Ratke;Giuseppe.Lueilwitz@gmail.com;helpful;2024-04-09T06:46:43;18361;11776
2;Neva;Ryan;Zelma_Fisher61@yahoo.com;horst pigeon;2024-04-08T12:16:03;22452;14600
3;Carlo;Wyman;Elena14@yahoo.com;fuzzy conference yum;2024-04-08T14:10:41;27203;30300
4;Tyreek;Monahan;Hertha_Tillman65@yahoo.com;quarrelsomely;2024-04-09T04:12:20;5836;3700
5;Adan;Rodriguez;Keely_Rippin73@yahoo.com;while ick recap;2024-04-08T12:19:14;8678;22604
6;May;Bartoletti;Anibal.Denesik@yahoo.com;seldom given aha;2024-04-08T09:07:37;7233;16174
7;Jerry;Jones;Carmel_Robel19@hotmail.com;finally;2024-04-08T23:24:16;24734;18775
8;Jessie;Lubowitz;Andre35@gmail.com;fooey;2024-04-09T03:20:48;23890;30266
9;Koby;Emard;Sheila_Sipes@hotmail.com;but spokesman;2024-04-08T16:17:54;4421;30953
10;Alisa;Hilpert;Bradly_Waters61@yahoo.com;solidify;2024-04-08T10:52:26;31526;13110
